"Story","Title","Result","Date","Stability","Duration (s)"
"Gmail login test","CheckingLetter","SUCCESS","2015-10-28T17:28:45.532+02:00","0.0","14.67"
"Gmail login test","Login to Gmail","SUCCESS","2015-10-28T17:29:01.410+02:00","0.0","12.99"
