"Story","Title","Result","Date","Stability","Duration (s)"
"Letter check","CheckingLetter","SUCCESS","2015-10-21T17:41:02.805+03:00","0.0","17.75"
"Letter check","Login to Gmail","SUCCESS","2015-10-21T17:41:21.791+03:00","0.0","12.69"
