"Story","Title","Result","Date","Stability","Duration (s)"
"Letter check","CheckingLetter","ERROR","2015-10-22T15:51:43.974+03:00","0.0","40.67"
"Letter check","Login to Gmail","SUCCESS","2015-10-22T15:52:25.903+03:00","0.0","11.62"
